Country,ISO3,Disease,Year,Latest Reported Cases Aggregate,Cases,Cases Lower,Cases Upper,Incidence,Incidence Lower,Incidence Upper,Derived_Cases_Method,Year Range Incidence Estimate
Colombia,COL,Newcastle disease (velogenic),2005,285199.0,285199.0,281677.82177240425,288789.2341469871,0.0003124201693559871,0.0003085629079413325,0.0003163530778171997,None,2005
Cuba,CUB,Fowl cholera (-2011),2005,3203.0,3203.0000000000005,3093.3515271805645,3315.207360784389,0.0001232278541887083,0.00011900938836897431,0.00012754476717454608,None,2005
Cuba,CUB,Fowl pox (-2005),2005,90.0,90.0,72.6635413338649,109.89509005654665,3.462537270366452e-06,2.7955580007257824e-06,4.2279538350118936e-06,None,2005
Cuba,CUB,Infectious bursal disease (Gumboro disease),2005,306036.0,306036.0,304506.22323715384,307570.8947087259,0.005887005867077041,0.005857578594539844,0.005916531590049552,None,2005
Cuba,CUB,Marek's disease (-2011),2005,23.0,23.0,14.8342716118874,33.720345605188946,8.848706357603155e-07,5.70713537054435e-07,1.297310593640048e-06,None,2005
Cuba,CUB,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,210827.0,210827.0,209595.8793419533,212063.2385939702,0.004055535250553044,0.004031853021870795,0.004079315929479084,None,2005
Cuba,CUB,New world screwworm (Cochliomyia hominivorax),2005,126.0,126.0,97.40142736246247,159.7158412142208,2.4237760892565163e-06,1.8736448468300948e-06,3.072344738178721e-06,None,2005
Cayman Islands,CYM,Fowl pox (-2005),2005,15.0,0.0,0.0,0.0,,,,None,2005
Czech Republic,CZE,Avian chlamydiosis,2005,5.0,5.0,1.2986000469459489,13.689689334748357,2.4435419629461296e-08,6.346367415592481e-09,6.690266069830739e-08,None,2005
Czech Republic,CZE,Avian tuberculosis (-2005),2005,3.0,3.0,0.38949910117041486,10.570564023307998,1.4661251777676776e-08,1.9035147964794172e-09,5.1659233525923536e-08,None,2005
Czech Republic,CZE,Fowl cholera (-2011),2005,184.0,184.0,158.6777994549404,211.88087661065504,1.7984468847283514e-06,1.5509434462243895e-06,2.070959252575787e-06,None,2005
Czech Republic,CZE,Pullorum disease,2005,200.0,200.0,173.5465988959435,229.01208432764162,1.9548335703569036e-06,1.6962735877152736e-06,2.2384025523054e-06,None,2005
Denmark,DNK,Newcastle disease (velogenic),2005,41000.0,41000.0,40604.41600781963,41398.14295097157,0.0005803132276030941,0.0005747141392301597,0.0005859485354305509,None,2005
Algeria,DZA,Fowl typhoid,2005,414101.0,414101.0,410786.2405270915,417446.4665914503,0.0010948767506484373,0.0010861125769785374,0.0011037221134730865,None,2005
Algeria,DZA,Pullorum disease,2005,1850.0,1850.0,1766.9733827508471,1935.5854767983437,9.782743768788817e-06,9.343701540390025e-06,1.0235317168706556e-05,None,2005
Eritrea,ERI,Fowl pox (-2005),2005,14000.0,14000.000000000002,13769.371662508853,14233.187275904658,0.0069135802469135815,0.006799689709880915,0.007028734457236868,None,2005
Eritrea,ERI,Infectious bursal disease (Gumboro disease),2005,398.0,398.0,360.16782939776954,438.3909158044871,0.0001965432098765432,0.0001778606564927257,0.00021648934113801833,None,2005
Spain,ESP,Avian chlamydiosis,2005,13.0,13.0,5.392171532325602,25.693433606248206,1.729160293159176e-08,7.172253005846692e-09,3.417543475911228e-08,None,2005
Spain,ESP,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,150057.0,150057.0,149285.64246184716,150833.47515113372,0.0003991886247855176,0.0003971366235135132,0.0004012542401700795,None,2005
Ethiopia,ETH,Fowl pox (-2005),2005,200.0,200.0,163.3177795978323,241.79949030730512,2.3413172250708247e-06,1.9118936526636263e-06,2.830646558349197e-06,None,2005
Ethiopia,ETH,Newcastle disease (velogenic),2005,3689.0,3689.0,3550.8731774798875,3832.244375085021,4.318559621643136e-05,4.156860267237817e-05,4.486249883033669e-05,None,2005
Finland,FIN,Avian tuberculosis (-2005),2005,1.0,1.0,0.057031078245021974,4.398728747398595,3.018959062915107e-08,1.7217449053562968e-09,1.3279582017264205e-07,None,2005
France,FRA,Newcastle disease (velogenic),2005,600.0,600.0,534.6396440178123,670.4777953148649,9.798381960525586e-07,8.731005738876589e-07,1.0949329224243564e-06,None,2005
United Kingdom,GBR,Newcastle disease (velogenic),2005,1.0,1.0,0.05703107824502196,4.398728747398595,1.8641691770811586e-09,1.0631557820007375e-10,8.199974549241274e-09,None,2005
Ghana,GHA,Infectious bursal disease (Gumboro disease),2005,687.0,687.0,619.6832782599538,761.9798260168913,2.3859965963949572e-05,2.1522011539608717e-05,2.6464065085850422e-05,None,2005
Ghana,GHA,Newcastle disease (velogenic),2005,410.0,410.0,352.1199333832048,475.5536892563367,7.119786059111589e-06,6.1146794947244965e-06,8.258147627137443e-06,None,2005
Guinea,GIN,Newcastle disease (velogenic),2005,279.0,279.0,229.41830231398373,336.2544021041907,1.3016095171448566e-05,1.0702976548354736e-05,1.5687165948411043e-05,None,2005
Guinea-Bissau,GNB,Newcastle disease (velogenic),2005,214.0,214.0,176.00623672285974,257.11103970546264,6.668744157058273e-05,5.484768984819562e-05,8.012185718462532e-05,None,2005
Greece,GRC,Marek's disease (-2011),2005,6.0,6.0,2.3845706836709955,12.157136705114748,9.04548086237154e-08,3.5949314140197016e-08,1.832785790122501e-07,None,2005
Greece,GRC,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,1095.0,1095.0,1019.482566139849,1175.6348952166024,8.25400128691403e-06,7.684758367949528e-06,8.861819121514956e-06,None,2005
Greece,GRC,Newcastle disease (velogenic),2005,4000.0,4000.0,3828.642107301425,4176.475615599584,3.01516028745718e-05,2.8859924092054067e-05,3.148185854422286e-05,None,2005
Guatemala,GTM,Avian infectious bronchitis,2005,11.0,10.999999999999998,1.2825594600012882,40.509149564721184,9.556907037358817e-08,1.1143001390106762e-08,3.519474332295498e-07,None,2005
Guatemala,GTM,Fowl cholera (-2011),2005,4.0,3.9999999999999996,0.22812431298008778,17.59491498959438,3.4752389226759337e-08,1.9819662291927696e-09,1.5286633353253152e-07,None,2005
Guatemala,GTM,Fowl pox (-2005),2005,7.0,6.999999999999999,0.3992175477151537,30.791101231790165,6.081668114682884e-08,3.4684409010873483e-09,2.675160836819302e-07,None,2005
Guatemala,GTM,Infectious bursal disease (Gumboro disease),2005,4.0,3.9999999999999996,0.22812431298008784,17.59491498959438,3.4752389226759337e-08,1.9819662291927705e-09,1.5286633353253152e-07,None,2005
Croatia,HRV,Avian tuberculosis (-2005),2005,3.0,2.9999999999999996,0.3894991011704147,10.570564023307998,7.132498038563039e-08,9.2603385837335e-09,2.5131509054249774e-07,None,2005
Hungary,HUN,Avian infectious laryngotracheitis,2005,8.0,7.999999999999999,3.6558454494130714,14.889849014167845,7.027839027347078e-08,3.2115866659168006e-08,1.3080432751634277e-07,None,2005
Hungary,HUN,Avian tuberculosis (-2005),2005,6.0,6.0,2.3845706836709955,12.157136705114743,5.2708792705103086e-08,2.0947973642713408e-08,1.0679799974624884e-07,None,2005
Hungary,HUN,Duck virus hepatitis,2005,197.0,197.0,170.75515753190132,225.80352438022243,1.7306053604842182e-06,1.500049700279368e-06,1.983638526439806e-06,None,2005
Hungary,HUN,Fowl cholera (-2011),2005,88.0,88.0,70.87104981346636,107.6875810242304,7.730622930081786e-07,6.225879122351722e-07,9.460137308533589e-07,None,2005
Hungary,HUN,Fowl pox (-2005),2005,4.0,3.9999999999999996,1.241568968700928,9.290960587349769,3.513919513673539e-08,1.0906933566724306e-08,8.161921927165031e-08,None,2005
India,IND,Bovine babesiosis,2005,2.0,2.0,0.33246802292539274,6.1718352759094035,2.2083147466842156e-09,3.670970189135453e-10,6.814677426948289e-09,None,2005
India,IND,Fowl cholera (-2011),2005,2.0,2.0,0.33246802292539274,6.1718352759094035,2.2083147466842156e-09,3.670970189135453e-10,6.814677426948289e-09,None,2005
India,IND,Fowl pox (-2005),2005,2574.0,2574.0,2323.231833293873,2847.789052643571,1.4210505394912925e-06,1.2826067793572661e-06,1.5722036400996672e-06,None,2005
India,IND,Infectious bursal disease (Gumboro disease),2005,112392.0,112392.0,111218.17178893148,113593.97136086799,6.204922775233308e-05,6.140118221518895e-05,6.27128105226573e-05,None,2005
India,IND,Newcastle disease (velogenic),2005,72741.0,72741.0,71139.61503976572,74388.43466380148,4.015875574713913e-05,3.9274665241438206e-05,4.106826931270702e-05,None,2005
India,IND,Salmonellosis (S. abortusovis),2005,102.0,102.0,83.46407076302748,123.09456502262417,1.1262405208089499e-07,9.215746914214423e-08,1.3591577158807e-07,None,2005
Iraq,IRQ,Infectious bursal disease (Gumboro disease),2005,359000.0,359000.0,357385.2971952777,360619.82075059885,0.002942622950819672,0.0029293876819285057,0.002955900170086876,None,2005
Iraq,IRQ,Marek's disease (-2011),2005,6000.0,6000.0,5849.458634363506,6153.100279103523,9.836065573770491e-05,9.589276449776239e-05,0.00010087049637874627,None,2005
Iraq,IRQ,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,3359100.0,3359100.0,3355509.0872580456,3362693.471727481,0.0550672131147541,0.05500834569275485,0.055126122487335755,None,2005
Iraq,IRQ,Newcastle disease (velogenic),2005,439000.0,439000.0,437167.8557035459,440837.26224740024,0.003598360655737705,0.0035833430795372614,0.00361342018235574,None,2005
Israel,ISR,Newcastle disease (velogenic),2005,55773.0,55773.0,55007.63208424764,56555.970797407506,0.00014240229996578647,0.00014044812587575803,0.00014440141857796217,None,2005
Italy,ITA,Fowl cholera (-2011),2005,26.0,26.0,14.301875868099524,42.798776707346015,4.679650898043006e-08,2.5741456249942897e-08,7.703205148218225e-08,None,2005
Italy,ITA,Fowl typhoid,2005,50.0,50.0,37.39075299799542,65.16790031855186,1.7998657300165407e-07,1.3459666988121037e-07,2.34586940960991e-07,None,2005
Italy,ITA,Pullorum disease,2005,2.0,2.0,0.1140621564900439,8.797457494797186,3.5997314600330817e-09,2.052965665582138e-10,1.5834242256162625e-08,None,2005
Jamaica,JAM,New world screwworm (Cochliomyia hominivorax),2005,1.0,1.0,0.057031078245021974,4.398728747398595,2.6702269692923898e-08,1.5228592321768217e-09,1.174560413190546e-07,None,2005
Japan,JPN,Avian infectious bronchitis,2005,7135.0,7135.0,6890.305267931465,7395.010431434174,7.702713060713787e-06,7.438548616622385e-06,7.983411833822385e-06,None,2005
Japan,JPN,Avian infectious laryngotracheitis,2005,333.0,333.0,282.5476817506272,391.10218109890286,3.594959284117297e-07,3.0502925276733833e-07,4.222211462402478e-07,None,2005
Japan,JPN,Fowl pox (-2005),2005,2479.0,2479.0,2322.4954947520223,2663.1555681930286,2.676247467065099e-06,2.50729031266648e-06,2.8750558062835445e-06,None,2005
Japan,JPN,Infectious bursal disease (Gumboro disease),2005,298.0,298.0,242.44060124851188,366.23889029361544,3.2171107107115755e-07,2.6173095804964485e-07,3.953795492089637e-07,None,2005
Japan,JPN,Marek's disease (-2011),2005,2503.0,2503.0,2235.8362418327924,2848.4958520658183,2.7021570835272056e-06,2.413735812415232e-06,3.0751431258719595e-06,None,2005
Japan,JPN,Newcastle disease (velogenic),2005,537.0,537.0,492.851692872385,583.7070783945258,1.1594553366792724e-06,1.0641331945852896e-06,1.2603022106182483e-06,None,2005
Kazakhstan,KAZ,High pathogenicity avian influenza viruses (poultry) (Inf. with),2005,400.0,400.0,362.0697346776624,440.48901097117937,1.2662234884457106e-05,1.1461530062604064e-05,1.3943938302348191e-05,None,2005
Kyrgyzstan,KGZ,Pullorum disease,2005,11.0,11.0,4.249169817355532,22.827257488483234,1.2862488306828813e-06,4.968627008133223e-07,2.6692302956598726e-06,None,2005
Korea (Rep. of),KOR,Fowl typhoid,2005,1652194.0,1652194.0,1648690.2825220805,1655702.83544076,0.0022916329157466075,0.002286773175123002,0.0022964997551080772,None,2005
Korea (Rep. of),KOR,Newcastle disease (velogenic),2005,213030.0,213030.0,211761.81892742106,214303.2990116828,0.0002954777465851466,0.0002937187488590632,0.000297243843016171,None,2005
Kuwait,KWT,Avian infectious bronchitis,2005,10000.0,10000.0,9759.120102327131,10245.997628328527,0.0003239705834710208,0.000316166783371469,0.00033194018298922883,None,2005
Kuwait,KWT,Infectious bursal disease (Gumboro disease),2005,25050.0,25050.0,24636.092191069136,25469.025662409513,0.0004057731557974536,0.0003990684580793264,0.0004125607552144606,None,2005
Kuwait,KWT,Newcastle disease (velogenic),2005,2000.0,1999.9999999999998,1913.622553715387,2088.9363102528478,6.479411669420416e-05,6.199574152704789e-05,6.767539152664165e-05,None,2005
Sri Lanka,LKA,Fowl cholera (-2011),2005,4270.0,4270.0,3916.9385378234642,4661.268837759428,5.262638960782863e-05,4.827501956941832e-05,5.744865337769513e-05,None,2005
Sri Lanka,LKA,Fowl pox (-2005),2005,4570.0,4570.0,4022.8971689619175,5206.339859987859,5.632379402992433e-05,4.958092594052007e-05,6.416648007084052e-05,None,2005
Sri Lanka,LKA,Infectious bursal disease (Gumboro disease),2005,75979.0,75979.0,73953.01594688246,78102.20129495452,0.0009364169686213611,0.0009114473606310538,0.0009625847481445749,None,2005
Sri Lanka,LKA,Newcastle disease (velogenic),2005,14173.0,14173.0,13507.25741059351,14892.431576211004,0.0001746777095812073,0.0001664726442677107,0.00018354447455213343,None,2005
Lesotho,LSO,Fowl pox (-2005),2005,15.0,15.000000000000002,8.631306563863024,23.92019988006054,8.510638297872341e-06,4.897195213539305e-06,1.3571744612800307e-05,None,2005
Lesotho,LSO,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,300.0,300.0,267.3198220089062,335.2388976574325,0.00017021276595744682,0.00015167082099796098,0.0001902064667559901,None,2005
Lesotho,LSO,Newcastle disease (velogenic),2005,441.0,441.0,381.68607352965523,507.98330438568195,0.0002502127659574468,0.0002165594743430668,0.00028821747766563514,None,2005
Madagascar,MDG,Fowl cholera (-2011),2005,2029.0,2029.0,1906.693355597408,2156.424286275641,2.26175746023253e-05,2.125420365400805e-05,2.4037992690539864e-05,None,2005
Madagascar,MDG,Fowl pox (-2005),2005,87.0,87.0,63.661851435132164,115.4545570109685,9.69802360967127e-07,7.09648434773904e-07,1.2869896778580578e-06,None,2005
Madagascar,MDG,Marek's disease (-2011),2005,1200.0,1200.0,1133.3782988994722,1269.1805336597627,2.6753168578403505e-05,2.526788391130148e-05,2.8295500644523128e-05,None,2005
Madagascar,MDG,Newcastle disease (velogenic),2005,992.0,992.0,913.1229628239298,1075.9945089716928,1.1057976345740115e-05,1.0178721898849946e-05,1.1994276036648416e-05,None,2005
Mexico,MEX,Avian infectious bronchitis,2005,9378.0,9378.0,9113.870158639229,9647.247646901304,4.971474365763769e-06,4.831453600615727e-06,5.1142081868996235e-06,None,2005
Mexico,MEX,Avian infectious laryngotracheitis,2005,116.0,116.0,88.70487727252014,148.41240620966386,6.149403139567041e-08,4.702431472366762e-08,7.867652730141431e-08,None,2005
Mexico,MEX,Infectious bursal disease (Gumboro disease),2005,2837.0,2837.0,2694.832709047803,2984.284963623065,1.5039531643923874e-06,1.4285873035884926e-06,1.5820320107471025e-06,None,2005
Mexico,MEX,Marek's disease (-2011),2005,41.0,41.0,25.820409778975293,61.286762549333574,2.1734959372607645e-08,1.3687940427563639e-08,3.248939741679066e-08,None,2005
Mexico,MEX,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),2005,595.0,595.0,529.9379433020786,665.1794943436767,3.154219713829646e-07,2.8093121140668123e-07,3.5262559231832954e-07,None,2005
Mali,MLI,Fowl cholera (-2011),2005,50.0,50.0,37.39075299799542,65.16790031855189,1.3698630136986302e-06,1.0244041917259019e-06,1.785421926535668e-06,None,2005
Mali,MLI,Fowl pox (-2005),2005,51.0,51.0,38.253143950919885,66.30550697325049,1.3972602739726028e-06,1.0480313411210927e-06,1.816589232143849e-06,None,2005
Myanmar,MMR,Avian infectious bronchitis,2005,155.0,155.0,124.09161417803932,191.02487444574973,2.9089899048666467e-07,2.328911309177569e-07,3.585093105426481e-07,None,2005
Myanmar,MMR,Avian infectious laryngotracheitis,2005,15.0,15.000000000000002,7.943591455334414,27.06311501332431,2.81515152083869e-08,1.4908275710937264e-08,5.0791179592261546e-08,None,2005
Myanmar,MMR,Avian tuberculosis (-2005),2005,2.0,1.9999999999999998,0.11406215649004395,8.797457494797191,3.753535361118253e-09,2.1406816887539192e-10,1.6510783897328028e-08,None,2005
Myanmar,MMR,Fowl cholera (-2011),2005,11251.0,11251.0,11027.973606554822,11479.143957202938,2.1115513173970732e-05,2.069694444684116e-05,2.1543686379364075e-05,None,2005
Myanmar,MMR,Fowl pox (-2005),2005,215.0,215.0,177.12161598413678,257.9956638262737,4.0350505132021227e-07,3.324161244074327e-07,4.841979235935478e-07,None,2005
Myanmar,MMR,Fowl typhoid,2005,320.0,320.0,272.94321550265323,372.1741136809809,6.005656577789205e-07,5.122510054832643e-07,6.984843480972032e-07,None,2005
